win,lose,probability
Portland Trail Blazers,Atlanta Hawks,0.76
Los Angeles Lakers,Toronto Raptors,0.56
Minnesota Timberwolves,Detroit Pistons,0.57
Boston Celtics,Dallas Mavericks,0.52
Memphis Grizzlies,San Antonio Spurs,0.69
Houston Rockets,New Orleans Pelicans,0.66
Utah Jazz,Golden State Warriors,0.81
Toronto Raptors,Los Angeles Clippers,0.58
Oklahoma City Thunder,Indiana Pacers,0.62
Philadelphia 76ers,Cleveland Cavaliers,0.88
Miami Heat,Detroit Pistons,0.76
Chicago Bulls,New York Knicks,0.7
Denver Nuggets,Atlanta Hawks,0.88
Los Angeles Lakers,Phoenix Suns,0.88
Utah Jazz,Brooklyn Nets,0.62
Sacramento Kings,Portland Trail Blazers,0.51
Memphis Grizzlies,Charlotte Hornets,0.73
Philadelphia 76ers,Orlando Magic,0.67
Boston Celtics,Washington Wizards,0.78
Los Angeles Clippers,Houston Rockets,0.59
San Antonio Spurs,Minnesota Timberwolves,0.69
Los Angeles Lakers,Golden State Warriors,0.93
Toronto Raptors,Portland Trail Blazers,0.76
Miami Heat,Cleveland Cavaliers,0.77
Milwaukee Bucks,Chicago Bulls,0.9
Los Angeles Clippers,New Orleans Pelicans,0.76
Dallas Mavericks,New York Knicks,0.78
Phoenix Suns,Atlanta Hawks,0.69
Denver Nuggets,Brooklyn Nets,0.65
Detroit Pistons,Charlotte Hornets,0.53
San Antonio Spurs,Orlando Magic,0.63
Indiana Pacers,Houston Rockets,0.53
Utah Jazz,Memphis Grizzlies,0.71
Washington Wizards,Minnesota Timberwolves,0.53
Oklahoma City Thunder,Philadelphia 76ers,0.55
Boston Celtics,Golden State Warriors,0.83
Los Angeles Lakers,Sacramento Kings,0.82
Brooklyn Nets,Chicago Bulls,0.59
Milwaukee Bucks,Indiana Pacers,0.89
Charlotte Hornets,New York Knicks,0.5
Miami Heat,New Orleans Pelicans,0.64
Houston Rockets,Minnesota Timberwolves,0.78
Toronto Raptors,Dallas Mavericks,0.59
Portland Trail Blazers,San Antonio Spurs,0.57
Los Angeles Clippers,Atlanta Hawks,0.88
Philadelphia 76ers,Cleveland Cavaliers,0.68
Boston Celtics,Sacramento Kings,0.75
Denver Nuggets,Memphis Grizzlies,0.68
Orlando Magic,Washington Wizards,0.54
New Orleans Pelicans,Golden State Warriors,0.76
Los Angeles Lakers,Atlanta Hawks,0.93
New York Knicks,Cleveland Cavaliers,0.68
Indiana Pacers,Brooklyn Nets,0.74
Toronto Raptors,Charlotte Hornets,0.84
Milwaukee Bucks,Chicago Bulls,0.92
Houston Rockets,Portland Trail Blazers,0.72
Dallas Mavericks,San Antonio Spurs,0.63
Boston Celtics,Phoenix Suns,0.79
Utah Jazz,Minnesota Timberwolves,0.77
Los Angeles Clippers,Oklahoma City Thunder,0.51
Memphis Grizzlies,Golden State Warriors,0.75
New Orleans Pelicans,Portland Trail Blazers,0.54
Sacramento Kings,Phoenix Suns,0.52
Los Angeles Lakers,Oklahoma City Thunder,0.65
Philadelphia 76ers,New York Knicks,0.84
San Antonio Spurs,Washington Wizards,0.63
Milwaukee Bucks,Atlanta Hawks,0.94
Brooklyn Nets,Charlotte Hornets,0.59
Dallas Mavericks,Golden State Warriors,0.87
Miami Heat,Cleveland Cavaliers,0.87
Toronto Raptors,Orlando Magic,0.69
Chicago Bulls,Detroit Pistons,0.6
Utah Jazz,Minnesota Timberwolves,0.8
Denver Nuggets,Houston Rockets,0.55
Boston Celtics,Los Angeles Clippers,0.54
Milwaukee Bucks,Portland Trail Blazers,0.8
New Orleans Pelicans,Phoenix Suns,0.59
Detroit Pistons,Atlanta Hawks,0.61
Washington Wizards,Charlotte Hornets,0.55
Sacramento Kings,Brooklyn Nets,0.51
Miami Heat,Chicago Bulls,0.72
Los Angeles Lakers,Oklahoma City Thunder,0.74
Philadelphia 76ers,San Antonio Spurs,0.61
Dallas Mavericks,Cleveland Cavaliers,0.88
Boston Celtics,Denver Nuggets,0.53
Utah Jazz,Golden State Warriors,0.87
Los Angeles Clippers,Houston Rockets,0.54
Phoenix Suns,Minnesota Timberwolves,0.58
Charlotte Hornets,Chicago Bulls,0.59
Orlando Magic,Indiana Pacers,0.52
Toronto Raptors,Atlanta Hawks,0.81
San Antonio Spurs,New York Knicks,0.68
Miami Heat,Philadelphia 76ers,0.53
Portland Trail Blazers,Cleveland Cavaliers,0.55
Los Angeles Lakers,Memphis Grizzlies,0.85
Milwaukee Bucks,Detroit Pistons,0.85
Utah Jazz,New Orleans Pelicans,0.67
Houston Rockets,Dallas Mavericks,0.51
Brooklyn Nets,New York Knicks,0.68
Sacramento Kings,Washington Wizards,0.55
Denver Nuggets,Phoenix Suns,0.75
Los Angeles Clippers,New Orleans Pelicans,0.68
Brooklyn Nets,Cleveland Cavaliers,0.65
Orlando Magic,Detroit Pistons,0.74
Memphis Grizzlies,Indiana Pacers,0.51
Atlanta Hawks,Minnesota Timberwolves,0.52
Boston Celtics,Sacramento Kings,0.71
Miami Heat,Charlotte Hornets,0.75
Toronto Raptors,Philadelphia 76ers,0.68
Chicago Bulls,Portland Trail Blazers,0.51
Milwaukee Bucks,Utah Jazz,0.59
Los Angeles Lakers,San Antonio Spurs,0.89
Oklahoma City Thunder,Golden State Warriors,0.8
Los Angeles Clippers,Dallas Mavericks,0.6
Denver Nuggets,Washington Wizards,0.79
Boston Celtics,Brooklyn Nets,0.63
