WTeam,LTeam,WLoc
Atlanta Hawks,Denver Nuggets,V
Los Angeles Lakers,Phoenix Suns,V
Utah Jazz,Brooklyn Nets,H
Sacramento Kings,Portland Trail Blazers,H
Memphis Grizzlies,Charlotte Hornets,V
Orlando Magic,Philadelphia 76ers,H
Boston Celtics,Washington Wizards,H
Houston Rockets,Los Angeles Clippers,H
Minnesota Timberwolves,San Antonio Spurs,H
Los Angeles Lakers,Golden State Warriors,H
Toronto Raptors,Portland Trail Blazers,V
Miami Heat,Cleveland Cavaliers,V
Milwaukee Bucks,Chicago Bulls,H
New Orleans Pelicans,Los Angeles Clippers,H
New York Knicks,Dallas Mavericks,H
Phoenix Suns,Atlanta Hawks,H
Denver Nuggets,Brooklyn Nets,H
Charlotte Hornets,Detroit Pistons,H
Orlando Magic,San Antonio Spurs,H
Houston Rockets,Indiana Pacers,H
Memphis Grizzlies,Utah Jazz,H
Washington Wizards,Minnesota Timberwolves,V
Oklahoma City Thunder,Philadelphia 76ers,H
Boston Celtics,Golden State Warriors,V
Los Angeles Lakers,Sacramento Kings,H
Brooklyn Nets,Chicago Bulls,V
Milwaukee Bucks,Indiana Pacers,V
Charlotte Hornets,New York Knicks,V
Miami Heat,New Orleans Pelicans,H
Houston Rockets,Minnesota Timberwolves,V
Dallas Mavericks,Toronto Raptors,H
Portland Trail Blazers,San Antonio Spurs,V
Los Angeles Clippers,Atlanta Hawks,H
Philadelphia 76ers,Cleveland Cavaliers,V
Sacramento Kings,Boston Celtics,H
Denver Nuggets,Memphis Grizzlies,V
Orlando Magic,Washington Wizards,H
New Orleans Pelicans,Golden State Warriors,H
Los Angeles Lakers,Atlanta Hawks,H
New York Knicks,Cleveland Cavaliers,H
Indiana Pacers,Brooklyn Nets,V
Toronto Raptors,Charlotte Hornets,H
Milwaukee Bucks,Chicago Bulls,V
Houston Rockets,Portland Trail Blazers,H
Dallas Mavericks,San Antonio Spurs,H
Boston Celtics,Phoenix Suns,V
Minnesota Timberwolves,Utah Jazz,V
Los Angeles Clippers,Oklahoma City Thunder,H
Golden State Warriors,Memphis Grizzlies,V
New Orleans Pelicans,Portland Trail Blazers,H
Sacramento Kings,Phoenix Suns,H
Los Angeles Lakers,Oklahoma City Thunder,H
Philadelphia 76ers,New York Knicks,H
Washington Wizards,San Antonio Spurs,H
Milwaukee Bucks,Atlanta Hawks,V
Brooklyn Nets,Charlotte Hornets,H
Dallas Mavericks,Golden State Warriors,H
Miami Heat,Cleveland Cavaliers,H
Toronto Raptors,Orlando Magic,H
Chicago Bulls,Detroit Pistons,H
Utah Jazz,Minnesota Timberwolves,V
Denver Nuggets,Houston Rockets,H
Los Angeles Clippers,Boston Celtics,H
Milwaukee Bucks,Portland Trail Blazers,H
New Orleans Pelicans,Phoenix Suns,V
Detroit Pistons,Atlanta Hawks,H
Washington Wizards,Charlotte Hornets,H
Brooklyn Nets,Sacramento Kings,H
Miami Heat,Chicago Bulls,V
Los Angeles Lakers,Oklahoma City Thunder,V
Philadelphia 76ers,San Antonio Spurs,H
Dallas Mavericks,Cleveland Cavaliers,H
Denver Nuggets,Boston Celtics,H
Utah Jazz,Golden State Warriors,H
Los Angeles Clippers,Houston Rockets,H
Phoenix Suns,Minnesota Timberwolves,V
Chicago Bulls,Charlotte Hornets,V
Indiana Pacers,Orlando Magic,H
Toronto Raptors,Atlanta Hawks,V
San Antonio Spurs,New York Knicks,V
Philadelphia 76ers,Miami Heat,H
Cleveland Cavaliers,Portland Trail Blazers,H
Los Angeles Lakers,Memphis Grizzlies,V
Milwaukee Bucks,Detroit Pistons,H
Utah Jazz,New Orleans Pelicans,H
Dallas Mavericks,Houston Rockets,V
Brooklyn Nets,New York Knicks,V
Sacramento Kings,Washington Wizards,V
Denver Nuggets,Phoenix Suns,H
Los Angeles Clippers,New Orleans Pelicans,H
Brooklyn Nets,Cleveland Cavaliers,V
Detroit Pistons,Orlando Magic,H
Indiana Pacers,Memphis Grizzlies,H
Minnesota Timberwolves,Atlanta Hawks,V
Boston Celtics,Sacramento Kings,H
Miami Heat,Charlotte Hornets,H
Toronto Raptors,Philadelphia 76ers,H
Portland Trail Blazers,Chicago Bulls,V
Milwaukee Bucks,Utah Jazz,H
Los Angeles Lakers,San Antonio Spurs,V
Oklahoma City Thunder,Golden State Warriors,V
Los Angeles Clippers,Dallas Mavericks,V
Denver Nuggets,Washington Wizards,H
Boston Celtics,Brooklyn Nets,H
Charlotte Hornets,Detroit Pistons,H
Orlando Magic,Cleveland Cavaliers,V
Indiana Pacers,Utah Jazz,H
Philadelphia 76ers,Sacramento Kings,H
Toronto Raptors,New York Knicks,H
Houston Rockets,Miami Heat,H
Los Angeles Clippers,Memphis Grizzlies,V
Milwaukee Bucks,Atlanta Hawks,H
Minnesota Timberwolves,San Antonio Spurs,V
